Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=0, estProb=0.50
Model=oddHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.50
Model=oddHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.74, middleScoreOddOfDefeat=1.16, middleBigOddOfVictory=1.07, middleBigOddOfDefeat=0.79, estValue=0, estProb=0.63
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=0, estProb=0.51
Model=ballHalf, matchID=1650810, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.88, middleScoreOddOfDefeat=0.98, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.84, estValue=0, estProb=0.59
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.02, middleScoreOddOfDefeat=0.82, middleBigOddOfVictory=0.87, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.65
Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.03, middleScoreOddOfDefeat=0.79, middleBigOddOfVictory=0.81, middleBigOddOfDefeat=0.99, estValue=0, estProb=0.57
Model=oddHalf, matchID=1650810, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.88, middleScoreOddOfDefeat=0.98, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.84, estValue=0, estProb=0.59
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.02, middleScoreOddOfDefeat=0.82, middleBigOddOfVictory=0.87, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.72
Model=oddHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.03, middleScoreOddOfDefeat=0.79, middleBigOddOfVictory=0.81, middleBigOddOfDefeat=0.99, estValue=0, estProb=0.61
Model=ballHalf, matchID=1650810, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.92, middleBigOddOfVictory=0.99, middleBigOddOfDefeat=0.85, estValue=0, estProb=0.58
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.01, middleScoreOddOfDefeat=0.83, middleBigOddOfVictory=0.87, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.65
Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.03, middleScoreOddOfDefeat=0.79, middleBigOddOfVictory=0.82, middleBigOddOfDefeat=0.98, estValue=0, estProb=0.57
Model=oddHalf, matchID=1650810, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.92, middleBigOddOfVictory=0.99, middleBigOddOfDefeat=0.85, estValue=0, estProb=0.60
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.01, middleScoreOddOfDefeat=0.83, middleBigOddOfVictory=0.87, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.71
Model=oddHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.03, middleScoreOddOfDefeat=0.79, middleBigOddOfVictory=0.82, middleBigOddOfDefeat=0.98, estValue=0, estProb=0.61
Model=ballHalf, matchID=1650810, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.92, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.84, estValue=0, estProb=0.58
Model=oddHalf, matchID=1650810, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.92, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.84, estValue=0, estProb=0.60
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=0.99, middleScoreOddOfDefeat=0.85, middleBigOddOfVictory=0.82, middleBigOddOfDefeat=1.00, estValue=0, estProb=0.65
Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.78, middleBigOddOfVictory=0.82, middleBigOddOfDefeat=0.98, estValue=0, estProb=0.56
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=0.99, middleScoreOddOfDefeat=0.85, middleBigOddOfVictory=0.82, middleBigOddOfDefeat=1.00, estValue=0, estProb=0.71
Model=oddHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.78, middleBigOddOfVictory=0.82, middleBigOddOfDefeat=0.98, estValue=0, estProb=0.61
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=0.99, middleScoreOddOfDefeat=0.85, middleBigOddOfVictory=0.88, middleBigOddOfDefeat=0.94, estValue=0, estProb=0.65
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=0.99, middleScoreOddOfDefeat=0.85, middleBigOddOfVictory=0.88, middleBigOddOfDefeat=0.94, estValue=0, estProb=0.71
Model=ballHalf, matchID=1650810, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.96, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=0.99, middleBigOddOfDefeat=0.85, estValue=0, estProb=0.58
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=0.99, middleScoreOddOfDefeat=0.85, middleBigOddOfVictory=0.91, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.65
Model=oddHalf, matchID=1650810, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.96, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=0.99, middleBigOddOfDefeat=0.85, estValue=0, estProb=0.60
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=0.99, middleScoreOddOfDefeat=0.85, middleBigOddOfVictory=0.91, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.71
Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.78, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.57
Model=oddHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.78, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.61
